EFI Fordringstypekode;Fortrinsberettiget;DMIFordringTypeKategori;DMIFordringKlasse;Personskatter
KTNETTO;false;HF;3;false
LIERHVE;false;HF;3;false
LIMEDIE;false;HF;3;false
DFKFUBI;false;HF;3;false
DFKFEUB;false;HF;3;false
DFGÆLST;false;HF;3;false
DFGÆLKO;false;HF;3;false
DFFMBFY;false;HF;3;false
OMINKAS;false;HF;3;false
OMKFORT;true;HF;3;false
PAMINFO;false;HF;3;false
PABKMDL;false;HF;3;false
PABLYAK;false;HF;3;false
PABRSTF;false;HF;3;false
PACFCHF;false;HF;3;false
PACHOKO;false;HF;3;false
PACIGAR;false;HF;3;false
PACIGPP;false;HF;3;false
PACOBEN;false;HF;3;false
PACOAEL;false;HF;3;false
PACOANA;false;HF;3;false
PACOAOG;false;HF;3;false
PACOAVA;false;HF;3;false
PADTSPK;false;HF;3;false
PAEFLAN;false;HF;3;false
PAEMBBP;false;HF;3;false
PAEMBVA;false;HF;3;false
PAENEOG;false;HF;3;false
PAENSER;false;HF;3;false
PAFLYRE;false;HF;3;false
PAGLØDL;false;HF;3;false
PAGVSSP;false;HF;3;false
PAKAFFE;false;HF;3;false
PAKASIN;false;HF;3;false
PAKLOPM;false;HF;3;false
PAKONIS;false;HF;3;false
PAKULVA;false;HF;3;false
PAKVÆLS;false;HF;3;false
PALEDNV;false;HF;3;false
PALOTGV;false;HF;3;false
PALUDOM;false;HF;3;false
PALYSTF;false;HF;3;false
PAMINVA;false;HF;3;false
PANICAB;false;HF;3;false
PAPVCFO;false;HF;3;false
PAPVCFT;false;HF;3;false
PARÅSTF;false;HF;3;false
PASPIRI;false;HF;3;false
PASPLDV;false;HF;3;false
PASVOVL;false;HF;3;false
PATOTAL;false;HF;3;false
PAVINFR;false;HF;3;false
POANDEP;false;HF;3;false
POBØDFI;false;HF;3;false
POBØDGR;false;HF;3;false
POBØDIS;false;HF;3;false
POBØDNO;false;HF;3;false
POBØDNP;false;HF;3;false
POBØDPO;false;HF;1;false
POBØDSV;false;HF;3;false
POERSAN;false;HF;3;false
POERSPO;false;HF;1;false
POERSRP;false;HF;3;false
POKONPO;false;HF;1;false
POMILIT;false;HF;3;false
POSAGPO;false;HF;1;false
POSKABØ;false;HF;3;false
POSKAPO;false;HF;1;false
POTOLAF;false;HF;3;false
POTVAPO;false;HF;1;false
POVANDY;false;HF;3;false
PSACARB;false;HF;3;true
PSARBMB;false;HF;3;true
PSARBRE;false;OR;3;true
PSARBGE;false;OG;3;true
PSBSKAT;false;HF;3;true
PSBSKRE;false;OR;3;true
PSFOREA;false;HF;3;true
PSRESTS;false;HF;3;true
PSRESRE;false;OR;3;true
PSSÆRLI;false;HF;3;true
PSSØMAN;false;HF;3;true
PSTILLÆ;false;HF;3;true
PAAAFØL;false;HF;3;false
PAAFFLD;false;HF;3;false
PAAFVOP;false;HF;3;false
PAANSMK;false;HF;3;false
PAANTIB;false;HF;3;false
REINDDR;false;IR;3;false
REOPKRÆ;false;OR;3;false
RERETEJ;false;HF;3;false
RETSAFG;false;HF;3;false
RFGÆTRM;false;HF;3;false
RFGÆTRU;false;HF;3;false
SFFORAG;false;HF;3;false
SGMISLA;false;HF;3;false
SGMISLC;false;HF;3;false
SGMISLD;false;HF;3;false
SGMISLE;false;HF;3;false
SGMISLF;false;HF;3;false
SGDETSG;false;HF;3;false
SGDETSS;false;HF;3;false
SGINFRS;false;HF;3;false
SGMISFM;false;HF;3;false
SGOPSVU;false;HF;3;false
SGVOKSU;false;HF;3;false
TUTRANX;false;HF;3;false
TUUDLÆG;false;HF;3;false
UBUDEUN;false;HF;2;false
UHFORSK;false;HF;2;false
UHKOMIN;false;HF;2;false
UHKONVE;false;HF;2;false
UHTILLÆ;false;HF;2;false
UHÆGTEF;false;HF;2;false
VSARBMB;false;HF;3;false
VSASKAT;false;HF;3;false
VSDIVMO;false;HF;3;false
VSFOUDM;false;HF;3;false
VSIMPOR;false;HF;3;false
VSLØAFG;false;HF;3;false
VSMOMSE;false;HF;3;false
VSSELAC;false;HF;3;false
VSSELSK;false;HF;3;false
VSSELSL;false;HF;3;false
VSTOLDE;false;HF;3;false
VSUDMSK;false;HF;3;false
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
