MATRIX_NAME=FJERN_FORDRING_FRA_INDSATS;;;;;;;;;;;;;
MATRIX_DIMENSIONS=2;;;;;;;;;;;;;
MATRIX_CELLTYPE=BOOLEAN;;;;;;;;;;;;;
MATRIX_XTYPE=INDSATS_UNDER_TYPE;;;;;;;;;;;;;
MATRIX_YTYPE=INDSATS_UNDER_TYPE;;;;;;;;;;;;;
MATRIX_ZTYPE=null;;;;;;;;;;;;;
MATRIX_USE_DEFAULT=NO;;;;;;;;;;;;;
MATRIX_DEFAULT=false;;;;;;;;;;;;;
MATRIX_EMPTY_CELL_SIGN=-;;;;;;;;;;;;;
;;DOEDSBO;EFTERGIVELSE;GAELDSSANERING;KREDITORORDNING;TVANGSOPLOESNING;INDGIVELSE_AF_KONKURSBEGAERING;KONKURS_PERSONLIG;KONKURS_SELSKABER;REKONSTRUKTION;HENSTAND_IKKE_KLAGEBETINGET;HENSTAND_KLAGEBETINGET;HENSTAND_SAERSKILT
;KLAGE_OVER_UDLAEG;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;JA;NEJ
;RYKNINGSPAATEGNING;NEJ;NEJ;NEJ;NEJ;JA;NEJ;JA;JA;JA;NEJ;JA;NEJ
;SKADESLOES_TRANSPORT;NEJ;NEJ;NEJ;NEJ;JA;NEJ;JA;JA;JA;NEJ;JA;NEJ
;TVANGSSALG_ANDELSBOLIG;NEJ;NEJ;NEJ;NEJ;JA;NEJ;JA;JA;JA;NEJ;JA;NEJ
;TVANGSSALG_DIVERSE;NEJ;NEJ;NEJ;NEJ;JA;NEJ;JA;JA;JA;NEJ;JA;NEJ
;TVANGSSALG_FAST_EJENDOM;NEJ;NEJ;NEJ;NEJ;JA;NEJ;JA;JA;JA;NEJ;JA;NEJ
;UDLAND;JA;NEJ;JA;NEJ;JA;NEJ;JA;JA;JA;JA;JA;JA
;TELEFONINKASSO;JA;NEJ;NEJ;NEJ;NEJ;JA;JA;NEJ;JA;JA;JA;JA
;MANUEL_SAGSBEHANDLING;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ;NEJ
;PAAKRAVSSKRIVELSE;JA;NEJ;JA;NEJ;JA;JA;NEJ;JA;JA;JA;JA;JA
;RYKKER_MED_GEBYR;JA;NEJ;JA;NEJ;JA;JA;NEJ;JA;JA;JA;JA;JA
;RYKKER_UDEN_GEBYR;JA;NEJ;JA;NEJ;JA;JA;NEJ;JA;JA;JA;JA;JA
;UDLAEG;JA;NEJ;NEJ;NEJ;JA;NEJ;NEJ;NEJ;NEJ;NEJ;JA;NEJ
